name,size,duration,elapsed
../audio/2024-09-27-13-32-01_small.wav,     562.54,      3.00,    0.1793
../audio/2024-09-27-13-32-02_small.wav,     750.04,      4.00,    0.1818
../audio/2024-09-27-13-32-03_small.wav,     937.54,      5.00,    0.1807
../audio/2024-09-27-13-32-10_large.wav,    2250.04,     12.00,    0.3673
../audio/2024-09-27-13-32-10_small.wav,    2250.04,     12.00,    0.3776
../audio/2024-09-27-13-48-57_small.wav,      93.79,      0.50,    0.1676
../audio/2024-09-27-13-48-58_small.wav,     281.29,      1.50,    0.1721
../audio/2024-09-27-13-48-59_small.wav,     468.79,      2.50,    0.4212
../audio/2024-09-27-13-49-02_small.wav,     937.54,      5.00,    0.3915
../audio/2024-09-27-13-49-03_small.wav,    1218.79,      6.50,    0.3826
../audio/2024-09-27-13-49-05_small.wav,    1500.04,      8.00,    0.4665
../audio/2024-09-27-13-49-06_small.wav,    1687.54,      9.00,    0.4485
../audio/2024-09-27-13-49-07_large.wav,    1875.04,     10.00,    0.4776
../audio/2024-09-27-13-49-07_small.wav,    1875.04,     10.00,    0.4587
../audio/2024-09-27-13-49-09_small.wav,     375.04,      2.00,    0.3224
../audio/2024-09-27-13-49-10_small.wav,     562.54,      3.00,    0.3382
../audio/2024-09-27-13-49-11_small.wav,     750.04,      4.00,    0.3233
../audio/2024-09-27-13-49-12_small.wav,     937.54,      5.00,    0.3251
../audio/2024-09-27-13-49-13_small.wav,    1125.04,      6.00,     0.345
../audio/2024-09-27-13-49-14_small.wav,    1312.54,      7.00,    0.3416
../audio/2024-09-27-13-49-15_small.wav,    1500.04,      8.00,    0.3519
../audio/2024-09-27-13-49-16_small.wav,    1687.54,      9.00,     0.358
../audio/2024-09-27-13-49-17_large.wav,    1875.04,     10.00,    0.4067
../audio/2024-09-27-13-49-17_small.wav,    1875.04,     10.00,    0.3851
../audio/2024-09-27-13-49-19_small.wav,     375.04,      2.00,    0.3601
../audio/2024-09-27-13-49-20_small.wav,     562.54,      3.00,    0.3673
../audio/2024-09-27-13-49-21_small.wav,     750.04,      4.00,    0.3492
../audio/2024-09-27-13-49-22_small.wav,     937.54,      5.00,    0.3838
../audio/2024-09-27-13-49-23_small.wav,    1125.04,      6.00,    0.3452
../audio/2024-09-27-13-49-24_small.wav,    1312.54,      7.00,    0.3505
../audio/2024-09-27-13-53-25_small.wav,      93.79,      0.50,    0.1697
../audio/2024-09-27-13-53-27_small.wav,     375.04,      2.00,    0.3601
../audio/2024-09-27-13-53-28_small.wav,     656.29,      3.50,    0.4453
../audio/2024-09-27-13-53-29_small.wav,     843.79,      4.50,    0.4701
../audio/2024-09-27-13-53-31_small.wav,    1125.04,      6.00,    0.6049
../audio/2024-09-27-13-53-32_small.wav,    1312.54,      7.00,    0.6051
../audio/2024-09-27-13-53-33_small.wav,    1593.79,      8.50,    0.6347
../audio/2024-09-27-13-53-34_small.wav,    1781.29,      9.50,    0.6002
../audio/2024-09-27-13-53-35_small.wav,    1968.79,     10.50,    0.6298
../audio/2024-09-27-13-53-36_large.wav,    1968.79,     10.50,    0.6143
../audio/2024-09-27-13-53-38_small.wav,     468.79,      2.50,    0.4198
../audio/2024-09-27-13-53-39_small.wav,     656.29,      3.50,    0.3997
../audio/2024-09-27-13-53-40_small.wav,     843.79,      4.50,    0.4302
../audio/2024-09-27-13-53-41_small.wav,    1031.29,      5.50,     0.395
../audio/2024-09-27-13-53-42_small.wav,    1218.79,      6.50,    0.4201
../audio/2024-09-27-13-53-43_small.wav,    1406.29,      7.50,    0.4102
../audio/2024-09-27-13-53-49_small.wav,    1500.04,      8.00,      0.54
../audio/2024-09-27-13-53-50_small.wav,    1593.79,      8.50,    0.6099
../audio/2024-09-27-13-54-31_small.wav,      93.79,      0.50,    0.2399
../audio/2024-09-27-13-54-35_small.wav,     187.54,      1.00,    0.1804
../audio/2024-09-27-13-54-36_small.wav,     375.04,      2.00,    0.1735
../audio/2024-09-27-13-54-37_small.wav,     562.54,      3.00,    0.3792
../audio/2024-09-27-13-54-39_small.wav,     937.54,      5.00,    0.6901
../audio/2024-09-27-13-54-40_small.wav,    1218.79,      6.50,    0.5697
../audio/2024-09-27-13-54-41_small.wav,    1406.29,      7.50,    0.7002
../audio/2024-09-27-13-54-42_small.wav,    1593.79,      8.50,    0.5696
../audio/2024-09-27-13-54-43_small.wav,    1781.29,      9.50,     0.601
../audio/2024-09-27-13-54-44_small.wav,    1968.79,     10.50,    0.4468
../audio/2024-09-27-13-54-45_large.wav,    1968.79,     10.50,    0.4452
../audio/2024-09-27-13-54-46_small.wav,     375.04,      2.00,    0.1699
../audio/2024-09-27-13-54-47_small.wav,     562.54,      3.00,    0.3856
../audio/2024-09-27-13-54-48_small.wav,     750.04,      4.00,    0.3989
../audio/2024-09-27-13-54-49_small.wav,     937.54,      5.00,    0.3801
../audio/2024-09-27-13-54-50_small.wav,    1125.04,      6.00,    0.4479
../audio/2024-09-27-13-54-51_small.wav,    1312.54,      7.00,    0.4625
../audio/2024-09-27-13-54-57_small.wav,    2343.79,     12.50,    0.4936
../audio/2024-09-27-13-54-58_large.wav,    2343.79,     12.50,    0.4982
../audio/2024-09-27-13-54-59_small.wav,     375.04,      2.00,    0.3699
../audio/2024-09-27-13-55-00_small.wav,     562.54,      3.00,    0.4362
../audio/2024-09-27-13-55-01_small.wav,     750.04,      4.00,    0.4139
../audio/2024-09-27-13-55-02_small.wav,     937.54,      5.00,    0.4394
../audio/2024-09-27-13-55-03_small.wav,    1125.04,      6.00,     0.437
../audio/2024-09-27-13-55-04_small.wav,    1312.54,      7.00,    0.4343
